Brand,Price,Condition,Currency
Zoot,250.00,new,USD
Wild Pair,90.00,new,USD
Reebok,22.99,new,USD
Reebok,75.00,new,USD
Reebok,64.95,New,USD
Jessica Simpson,69.98,new,USD
The Highest Heel,45.54,new,USD
Qupid,45.00,new,USD
Alfani,79.00,new,USD
Me Too,79.00,new,USD
New Balance,110.00,new,USD
Bruno Magli,169.99,New with box,USD
Nine West,89.00,new,USD
Easy Spirit,70.00,new,USD
Touch Ups,41.70,new,USD
Touch Ups,57.27,new,USD
Caterpillar,67.19,new,USD
Dearfoams,20.00,new,USD
J. Renee,80.00,new,USD
Bar III,110.00,new,USD
Bar III,63.99,new,USD
Boulet,266.00,new,USD
Comfy Feet,30.00,new,USD
Allegra K,57.99,new,USD
Allegra K,69.99,new,USD
FIEL,210.00,new,USD
Easy Spirit,39.39,new,USD
Unique Bargains,69.99,new,USD
Crocs,46.00,new,USD
Dan Post,202.00,new,USD
Tkees,115.00,new,USD
Spring Step,109.95,new,USD
FAMOUS NAME BRAND,55.00,new,USD
Nike,88.00,new,USD
Oofos,44.95,new,USD
Calvin Klein,27.99,new,USD
Nina,48.99,new,USD
Fergalicious,44.00,new,USD
Secret Wishes,33.12,New with tags,USD
Secret Wishes,59.99,new,USD
Brinley Co.,29.99,new,USD
Versandhausware,45.81,New with tags,USD
FAMOUS NAME BRAND,40.00,new,USD
PleaserUSA,30.79,new,USD
MUK LUKS,55.44,new,USD
Marc Fisher,65.79,new,USD
Birkenstock,111.48,new,USD
Dearfoams,26.00,new,USD
Nike,9.50,New with tags,USD
Nike,15.50,New with tags,USD
Nike,31.95,New with tags,USD
Olivia Miller,109.99,new,USD
LRL Lauren Jeans Co.,10.49,New with tags,USD
Dr. Scholl's,40.00,new,USD
Naturalizer,120.00,new,USD
Nine West,49.43,new,USD
Bloch,31.34,new,USD
Pillow Paws,97.20,new,USD
Kasper,7.50,New with tags,USD
Born,109.00,new,USD
Corral Boots,199.99,new,USD
9W Loves Easyspirit,75.00,new,USD
The Highest Heel,50.99,new,USD
Bulova,80.99,New with tags,USD
Bulova,325.00,New,USD
Gentle Souls,195.00,new,USD
ELLIE SHOES,49.99,new,USD
BCBG Max Azria,398.00,new,USD
Mezzo,95.00,new,USD
Alfani,79.00,new,USD
FORUM,29.99,New with tags,USD
Kenneth Cole Reaction,49.00,new,USD
Rampage,32.99,new,USD
Movado,1927.80,New,USD
Style & Co.,79.00,new,USD
Bearpaw,79.00,new,USD
MUK LUKS,47.00,new,USD
MUK LUKS,49.99,new,USD
Isotoner,26.00,new,USD
Havaianas,30.40,new,USD
Style&co.,19.99,New with tags,USD
Enzo Angiolini,44.95,new,USD
Bearpaw,30.17,new,USD
Lacoste,84.95,new,USD
Xloop,9.99,New with tags,USD
SHOES OF SOUL,16.80,new,USD
SHOES OF SOUL,14.99,new,USD
Donald J Pliner,87.09,new,USD
Madden Girl,20.00,new,USD
UGG,199.99,new,USD
Seychelles,28.35,new,USD
Caparros,85.00,new,USD
Bare Traps,59.95,new,USD
Mia,39.99,new,USD
Woolrich,39.99,new,USD
Vince Camuto,51.07,new,USD
The Flexx,100.00,new,USD
Kamik,54.98,new,USD
DC Comics,19.95,new,USD
Franco Sarto,23.99,new,USD
Olivia Miller,42.00,new,USD
PleaserUSA,44.72,new,USD
Calvin Klein,149.00,new,USD
Merrell,48.17,new,USD
New Balance,49.99,New with box,USD
Michael Kors,135.00,new,USD
Bamboo,36.95,new,USD
PleaserUSA,46.45,new,USD
BEAUTIFEET,10.00,new,USD
BEAUTIFEET,8.00,new,USD
Goody,18.00,New with tags,USD
Goody,5.56,new,USD
Goody,3.99,new,USD
Goody,5.99,new,USD
Beacon,50.00,new,USD
Miranda By Miranda Lambert,80.00,new,USD
Sam Edelman,185.00,new,USD
TOMS,52.87,new,USD
TOMS,51.79,new,USD
Nine West,47.04,new,USD
Nine West,89.00,new,USD
Charles By Charles David,110.00,new,USD
Easy Street,85.00,new,USD
Easy Street,5.99,new,USD
Britchel,30.99,new,USD
EASYCOMFORTS,22.79,new,USD
EASYCOMFORTS,20.98,new,USD
New Balance,47.99,new,USD
Vibram,68.13,new,USD
Roxy,15.52,new,USD
Saucony,70.00,new,USD
White Mountain,79.00,new,USD
Patrizia Pepe,51.95,new,USD
Ellen Tracy,21.99,new,USD
LifeStride,8.52,New with box,USD
LifeStride,9.50,New with box,USD
Ferrini,119.55,new,USD
M&F Western,78.00,new,USD
SummitFashions,62.99,new,USD
JBU by Jambu,69.00,new,USD
Kenneth Cole Reaction,100.00,new,USD
Brinley Co.,24.99,new,USD
Keds,33.09,new,USD
Mia Girl,23.99,new,USD
Mia Girl,59.00,new,USD
Born,58.04,new,USD
Born,58.67,new,USD
Born,71.76,new,USD
Qupid,50.00,new,USD
Qupid,6.99,new,USD
Bloch,70.00,new,USD
PRADA,53.00,New without tags,USD
Jessica Simpson,79.00,new,USD
Nine West,120.00,new,USD
Brianna Leigh,133.00,new,USD
American Rag,39.00,new,USD
Mia,59.00,new,USD
TOMS,81.38,new,USD
XOXO,24.59,new,USD
TOMS,48.58,new,USD
TOMS,51.55,new,USD
Bellini,22.99,new,USD
SoftWalk,13.99,new,USD
ShoeVibe,35.00,new,USD
SKECHERS,57.56,new,USD
SKECHERS,57.60,new,USD
Touch Ups,41.80,new,USD
Jessica Simpson,49.99,New with box,USD
Leg Avenue,30.00,new,USD
Leg Avenue,35.99,New with tags,USD
Style & Co.,19.99,new,USD
Ralph Lauren,195.00,New,USD
PleaserUSA,59.95,new,USD
Karen Scott,32.59,new,USD
Dolce Vita,185.00,new,USD
Lucky Brand,89.00,new,USD
ELLIE SHOES,45.73,new,USD
Forever,31.99,new,USD
Nine West,47.95,new,USD
Nike,150.00,new,USD
Roma Costume,77.39,New with tags,USD
Alpine Swiss,42.50,new,USD
MICHAEL Michael Kors,54.99,new,USD
Aerosoles,35.34,new,USD
Annie Shoes,13.99,new,USD
Donald J Pliner,248.00,new,USD
Style & Co.,69.00,new,USD
Dyeables,75.00,new,USD
Circa Joan & David,89.00,new,USD
Soda,44.00,new,USD
ANNE KLEIN SPORT,100.00,new,USD
DV By Dolce Vita,15.99,new,USD
Unique Bargains,29.40,new,USD
Naturalizer,92.59,new,USD
Kenneth Cole Unlisted,28.59,new,USD
Kenneth Cole Unlisted,28.19,new,USD
Michael Kors,135.00,new,USD
Vince Camuto,159.00,new,USD
Reebok,80.00,new,USD
Kenneth Cole Reaction,89.00,new,USD
Karen Scott,2.25,New with tags,USD
Karen Scott,9.99,New with tags,USD
Karen Scott,3.99,New with tags,USD
Karen Scott,6.99,New with tags,USD
INC,2.49,New with tags,USD
MICHAEL Michael Kors,99.00,new,USD
Incharacter Costumes LLC,90.19,New with tags,USD
Incharacter Costumes LLC,143.98,new,USD
The Walking Cradle Company,140.00,new,USD
Propet,80.00,new,USD
Material Girl,27.24,new,USD
MUK LUKS,85.00,new,USD
MUK LUKS,92.95,new,USD
New Balance,75.00,new,USD
Jessica Simpson,110.00,new,USD
BCBGeneration,150.00,new,USD
INC International Concepts,70.00,new,USD
Fila,39.99,new,USD
Reebok,60.00,new,USD
Mia Girl,50.00,new,USD
cosplaydiy,136.92,New without tags,USD
Morris Costumes,34.40,New with tags,USD
Morris Costumes,49.00,new,USD
Morris Costumes,28.62,New with tags,USD
Morris Costumes,29.95,New with tags,USD
Morris Costumes,34.40,New with tags,USD
Morris Costumes,31.99,New with tags,USD
Ugg Australia,140.00,new,USD
Two Lips,89.00,new,USD
BCBG Max Azria,168.00,new,USD
Nine West,29.99,new,USD
Mix No 6,5.99,new,USD
PleaserUSA,53.95,new,USD
Whimsical Gifts,49.95,New,USD
Whimsical Gifts,230.99,New,USD
New Balance,65.00,new,USD
Coconuts by Matisse,62.00,new,USD
Style & Co.,24.54,new,USD
Twisted X,173.99,new,USD
Alpine Swiss,48.50,new,USD
Soda,31.95,new,USD
Dr. Scholl's,70.00,new,USD
Yoki,13.00,new,USD
Easy Spirit,68.95,new,USD
Ralph Lauren,49.00,New,USD
Unbranded,3.46,new,USD
Teva,109.99,new,USD
Marc Fisher,119.00,new,USD
Ahnu,180.00,new,USD
Natural Soul,99.00,new,USD
Ryka,60.00,new,USD
Schutz,150.56,new,USD
Schutz,144.62,new,USD
Jessica Simpson,139.00,new,USD
Lucky Brand,87.99,new,USD
Lacoste,75.00,new,USD
Tommy Hilfiger,29.00,new,USD
Kenneth Cole Unlisted,32.99,new,USD
Lucky Brand,92.59,new,USD
Chase & Chloe,37.99,new,USD
G ANTINI,67.99,new,USD
Charles by Charles David,53.34,new,USD
Dollhouse,60.00,new,USD
Mia,19.99,new,USD
Lane Bryant,15.95,New with tags,USD
Unisa,60.00,new,USD
VANS,20.99,new,USD
VANS,65.00,new,USD
Paprika,19.99,new,USD
Tecnica,20.00,New with box,USD
Tecnica,10.05,New with box,USD
Tecnica,20.50,New with box,USD
Tecnica,36.00,New with box,USD
Mizuno,120.00,new,USD
Keds,59.95,new,USD
Dolce by Mojo Moxy,50.00,new,USD
TIARA,17.95,new,USD
Easy Spirit,149.00,new,USD
Chelsea Crew,14.99,new,USD
Chelsea Crew,70.00,new,USD
Ralph Lauren,375.00,New,USD
Calvin Klein,54.69,new,USD
MICHAEL Michael Kors,225.00,new,USD
Lencca,125.00,New,USD
Kate Spade,65.00,New,USD
Ryka,60.00,new,USD
Crocs,33.46,new,USD
Mia,80.00,new,USD
Vionic,99.95,new,USD
MEPHISTO,375.00,new,USD
L Space,12.50,New with tags,USD
IM Link,42.95,new,USD
Acorn,58.23,new,USD
Unbranded,6.99,New without tags,USD
Cape Robbin,50.00,new,USD
Sonoma,7.00,New with tags,USD
Calvin Klein,119.00,new,USD
MICHAEL Michael Kors,135.00,new,USD
MICHAEL Michael Kors,56.99,new,USD
"Handmade""""",39.99,New with tags,USD
MICHAEL Michael Kors,165.00,new,USD
Stuart Weitzman,162.99,new,USD
Bearpaw,54.95,new,USD
Miles Kimball,25.19,new,USD
Elites by Walking Cradles,44.99,new,USD
California Costume,32.70,New with tags,USD
California Costume,32.70,New with tags,USD
Helly Hansen,130.00,new,USD
Easy Spirit,75.00,new,USD
Blowfish,39.12,new,USD
Ugg Australia,127.88,new,USD
Ugg Australia,154.95,new,USD
Oofos,44.95,new,USD
Me Too,79.99,new,USD
Nine West,120.00,new,USD
GUESS,169.00,new,USD
Michael Kors,68.99,new,USD
Summit Fashions,101.95,new,USD
BareTraps,100.00,new,USD
Bussola Style,125.00,new,USD
LA GEAR,99.88,New with box,USD
Naturalizer,38.99,new,USD
Naturalizer,40.74,new,USD
Vince,57.99,new,USD
Ujena,38.99,New with tags,USD
MICHAEL Michael Kors,295.00,new,USD
ShoeVibe,35.00,new,USD
Cole Haan,78.09,new,USD
MICHAEL Michael Kors,74.47,new,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Ralph Lauren,750.00,New,USD
Guess by Marciano,62.99,New with tags,USD
G Antini,70.99,new,USD
PUMA,59.90,new,USD
Touch Ups,53.20,new,USD
Material Girl,27.47,new,USD
Touch Ups by Benjamin Walk,60.00,new,USD
Drew Shoe,154.00,new,USD
Franco Sarto,140.00,new,USD
Isotoner,15.00,new,USD
Vionic,74.95,new,USD
Alfani,32.99,new,USD
Easy Street,50.00,new,USD
Sole Society,60.00,new,USD
Dune London,120.00,new,USD
Tommy Hilfiger,119.00,new,USD
K-swiss,70.00,new,USD
Dreamgirl,38.99,New with tags,USD
Dreamgirl,48.09,New with tags,USD
Dreamgirl,51.79,New with tags,USD
Le Suit,59.99,New with tags,USD
Easy Spirit,79.00,new,USD
Nine West,59.00,new,USD
Faded Glory,12.44,new,USD
INC International Concepts,119.00,new,USD
kate spade,149.97,New with box,USD
SHOES OF SOUL,25.20,new,USD
Dr. Scholl's,50.00,new,USD
Dr. Scholl's,50.00,new,USD
PleaserUSA,29.09,new,USD
Bordello,50.00,new,USD
TOTES ISOTONER,24.00,new,USD
Mia,18.99,new,USD
Vision Street Wear,55.00,new,USD
Italian Shoe Makers,19.99,new,USD
Reebok,75.00,new,USD
Dr. Scholl's,26.99,new,USD
Lauren Ralph Lauren,84.78,new,USD
MUK LUKS,39.00,new,USD
MUK LUKS,29.99,new,USD
MUK LUKS,65.00,new,USD
INC International Concepts,140.00,new,USD
INC International Concepts,69.99,new,USD
Gameday Boots,89.69,new,USD
Faded Glory,13.92,new,USD
Nike,64.99,new,USD
Invicta,119.00,New,USD
Lauren Ralph Lauren,17.64,New with tags,USD
Bearpaw,53.87,new,USD
Bedroom Athletics,40.00,new,USD
Breckelle's,20.00,new,USD
Corso Como,19.99,New with box,USD
Circa Joan & David,170.00,new,USD
Cape Robbin,43.00,new,USD
QUPID,35.99,new,USD
Cold Front,47.88,new,USD
Bar III,59.00,new,USD
Naturalizer,59.00,new,USD
Santoni,755.00,new,USD
Vince Camuto,139.00,new,USD
Bellini,89.00,new,USD
PleaserUSA,28.73,new,USD
Tommy Bahama,125.00,new,USD
PleaserUSA,47.94,new,USD
CR,34.95,new,USD
Coloriffics,121.00,new,USD
Journee Collection,754.80,new,USD
Rampage,26.99,new,USD
Karen Scott,24.99,new,USD
Vionic with Orthaheel Technology,119.95,new,USD
PleaserUSA,94.46,new,USD
Nina,51.52,new,USD
TOMS,89.25,new,USD
Olivia Miller,46.00,new,USD
TOMS,78.38,new,USD
Nike,79.98,new,USD
CCILU,100.00,new,USD
Funtasma,49.95,New with box,USD
Invicta,69.99,new,USD
Nine West,109.00,new,USD
VANS,45.00,new,USD
VANS,35.00,new,USD
ASICS,129.99,New with box,USD
ASICS,85.00,New with box,USD
ASICS,89.99,New with box,USD
GX by Gwen Stefani,129.00,new,USD
Sperry,59.95,new,USD
Reebok,39.90,new,USD
Dr. Martens,108.95,new,USD
VANS,60.00,new,USD
Superga,9.97,new,USD
Saucony,48.91,new,USD
J. Renee,99.95,new,USD
Billabong,6.50,New with tags,USD
ELLIE SHOES,64.00,new,USD
Ferrini,232.00,new,USD
VistaBella,46.00,New,USD
Dearfoams,20.00,new,USD
Sandra Darren,2.25,New with tags,USD
EVERYBODY BY BZ MODA,199.00,new,USD
SKECHERS,56.34,new,USD
Report,37.42,new,USD
Unbranded,19.97,new,USD
The Highest Heel,50.98,new,USD
Splendid,178.00,new,USD
Calvin Klein,69.00,new,USD
Gucci,110.00,New without tags,USD
Capezio,18.99,new,USD
Ralph Lauren,129.00,new,USD
PleaserUSA,50.39,new,USD
Ralph Lauren,1450.00,New,USD
Crown Vintage,149.00,new,USD
Enzo Angiolini,149.00,new,USD
Benjamin Walk,46.51,new,USD
Benjamin Walk,33.86,new,USD
TOMS,53.75,new,USD
Style & Co.,65.00,new,USD
PleaserUSA,97.95,new,USD
Seychelles,70.00,new,USD
Cougar,75.00,new,USD
BuyEnlarge,26.88,new,USD
BuyEnlarge,24.52,new,USD
Klogs,75.00,new,USD
Static Footwear,34.95,new,USD
Hogan by Tod's,325.00,new,USD
mobils by Mephisto,259.95,new,USD
ELLIE SHOES,48.01,new,USD
Bearpaw,109.99,new,USD
Lugz,70.95,new,USD
Hunter,81.00,new,USD
HDE,5.25,New with tags,USD
HDE,5.25,New with tags,USD
Reebok,39.99,new,USD
Mizuno,30.00,new,USD
VANS,65.00,new,USD
Unbranded,6.00,New with tags,USD
Unbranded,5.99,New with tags,USD
Fitflop,100.00,new,USD
ON-Running,140.00,new,USD
Fireside Casuals,22.49,new,USD
Fireside Casuals,22.32,new,USD
Fireside Casuals,23.99,new,USD
Fireside Casuals,20.00,new,USD
Fireside Casuals,20.00,new,USD
Le Suit,59.99,New with tags,USD
Famous Name Brand,14.99,new,USD
Heavenly Comfort,69.00,new,USD
